library,symbol,kind,titles,pct_of_corpus,implemented
coreinit,MEMGetFillValForHeap,functions,1,25.0,no
coreinit,MEMGetGroupIDForExpHeap,functions,1,25.0,no
coreinit,MEMGetGroupIDForMBlockExpHeap,functions,1,25.0,no
coreinit,MEMGetNextListObject,functions,1,25.0,no
coreinit,MEMGetNthListObject,functions,1,25.0,no
coreinit,MEMGetPrevListObject,functions,1,25.0,no
coreinit,MEMGetTotalFreeSizeForBlockHeap,functions,1,25.0,no
coreinit,MEMGetTotalFreeSizeForExpHeap,functions,1,25.0,yes
coreinit,MEMGetTrackingLeftInBlockHeap,functions,1,25.0,no
coreinit,MEMInitBlockHeap,functions,1,25.0,no
coreinit,MEMInitList,functions,1,25.0,no
coreinit,MEMInsertListObject,functions,1,25.0,no
coreinit,MEMPrependListObject,functions,1,25.0,no
coreinit,MEMRemoveListObject,functions,1,25.0,no
coreinit,MEMResizeForMBlockExpHeap,functions,1,25.0,no
coreinit,MEMResizeForMBlockFrmHeap,functions,1,25.0,no
coreinit,MEMSetAllocModeForExpHeap,functions,1,25.0,yes
coreinit,MEMSetBaseHeapHandle,functions,1,25.0,yes
coreinit,MEMSetFillValForHeap,functions,1,25.0,no
coreinit,MEMSetGroupIDForExpHeap,functions,1,25.0,no
coreinit,MPDequeTask,functions,1,25.0,no
coreinit,MPDequeTasks,functions,1,25.0,no
coreinit,MPEnqueTask,functions,1,25.0,no
coreinit,MPGetTaskInfo,functions,1,25.0,no
coreinit,MPGetTaskQInfo,functions,1,25.0,no
coreinit,MPGetTaskUserData,functions,1,25.0,no
coreinit,MPInitTask,functions,1,25.0,no
coreinit,MPInitTaskQ,functions,1,25.0,no
coreinit,MPPrintTaskQStats,functions,1,25.0,no
coreinit,MPResetTaskQ,functions,1,25.0,no
coreinit,MPRunTask,functions,1,25.0,no
coreinit,MPRunTasksFromTaskQ,functions,1,25.0,no
coreinit,MPSetTaskUserData,functions,1,25.0,no
coreinit,MPStartTaskQ,functions,1,25.0,no
coreinit,MPStopTaskQ,functions,1,25.0,no
coreinit,MPTermTask,functions,1,25.0,no
coreinit,MPTermTaskQ,functions,1,25.0,no
coreinit,MPWaitTaskQ,functions,1,25.0,no
coreinit,MPWaitTaskQWithTimeout,functions,1,25.0,no
coreinit,OSAcquireSpinLock,functions,1,25.0,yes
coreinit,OSAddAtomic,functions,1,25.0,no
coreinit,OSAddAtomic64,functions,1,25.0,yes
coreinit,OSAllocFromSystem,functions,1,25.0,no
coreinit,OSAndAtomic64,functions,1,25.0,yes
coreinit,OSBlockMove,functions,1,25.0,yes
coreinit,OSBlockSet,functions,1,25.0,yes
coreinit,OSCalendarTimeToTicks,functions,1,25.0,yes
coreinit,OSCancelAlarms,functions,1,25.0,yes
coreinit,OSCheckActiveThreads,functions,1,25.0,no
coreinit,OSCheckThreadStackUsage,functions,1,25.0,no
coreinit,OSClearThreadStackUsage,functions,1,25.0,no
coreinit,OSCompareAndSwapAtomic,functions,1,25.0,no
coreinit,OSCompareAndSwapAtomic64,functions,1,25.0,yes
coreinit,OSCompareAndSwapAtomicEx64,functions,1,25.0,no
coreinit,OSConsoleWrite,functions,1,25.0,yes
coreinit,OSContinueThread,functions,1,25.0,no
coreinit,OSCreateAlarmEx,functions,1,25.0,yes
coreinit,OSDynLoad_Acquire,functions,1,25.0,yes
coreinit,OSDynLoad_FindExport,functions,1,25.0,yes
coreinit,OSDynLoad_GetAllocator,functions,1,25.0,yes
coreinit,OSDynLoad_Release,functions,1,25.0,yes
coreinit,OSDynLoad_SetAllocator,functions,1,25.0,yes
coreinit,OSEnableForegroundExit,functions,1,25.0,no
coreinit,OSExitThread,functions,1,25.0,yes
coreinit,OSFastCond_Init,functions,1,25.0,no
coreinit,OSFastCond_Signal,functions,1,25.0,no
coreinit,OSFastCond_Wait,functions,1,25.0,no
