title,library,symbol,kind
crispy-doom-u,proc_ui,ProcUIProcessMessages,functions
crispy-doom-u,proc_ui,ProcUIRegisterCallback,functions
crispy-doom-u,proc_ui,ProcUIShutdown,functions
crispy-doom-u,proc_ui,ProcUISubProcessMessages,functions
crispy-doom-u,sndcore2,AXAcquireVoice,functions
crispy-doom-u,sndcore2,AXDeregisterAppFrameCallback,functions
crispy-doom-u,sndcore2,AXFreeVoice,functions
crispy-doom-u,sndcore2,AXGetInputSamplesPerFrame,functions
crispy-doom-u,sndcore2,AXGetInputSamplesPerSec,functions
crispy-doom-u,sndcore2,AXGetVoiceLoopCount,functions
crispy-doom-u,sndcore2,AXGetVoiceOffsets,functions
crispy-doom-u,sndcore2,AXInit,functions
crispy-doom-u,sndcore2,AXInitWithParams,functions
crispy-doom-u,sndcore2,AXIsInit,functions
crispy-doom-u,sndcore2,AXQuit,functions
crispy-doom-u,sndcore2,AXRegisterAppFrameCallback,functions
crispy-doom-u,sndcore2,AXSetVoiceDeviceMix,functions
crispy-doom-u,sndcore2,AXSetVoiceEndOffset,functions
crispy-doom-u,sndcore2,AXSetVoiceLoopOffset,functions
crispy-doom-u,sndcore2,AXSetVoiceOffsets,functions
crispy-doom-u,sndcore2,AXSetVoiceSrcRatio,functions
crispy-doom-u,sndcore2,AXSetVoiceSrcType,functions
crispy-doom-u,sndcore2,AXSetVoiceState,functions
crispy-doom-u,sndcore2,AXSetVoiceType,functions
crispy-doom-u,sndcore2,AXSetVoiceVe,functions
crispy-doom-u,sndcore2,AXVoiceBegin,functions
crispy-doom-u,sndcore2,AXVoiceEnd,functions
crispy-doom-u,sysapp,SYSLaunchMenu,functions
crispy-doom-u,sysapp,SYSRelaunchTitle,functions
crispy-doom-u,vpad,VPADEnableGyroAccRevise,functions
crispy-doom-u,vpad,VPADGetTPCalibratedPoint,functions
crispy-doom-u,vpad,VPADInit,functions
crispy-doom-u,vpad,VPADRead,functions
crispy-doom-u,vpad,VPADShutdown,functions
flappy_bird_3d,coreinit,.fimport_coreinit,functions
flappy_bird_3d,coreinit,DCFlushRange,functions
flappy_bird_3d,coreinit,DCFlushRangeNoSync,functions
flappy_bird_3d,coreinit,DCInvalidateRange,functions
flappy_bird_3d,coreinit,DCStoreRange,functions
flappy_bird_3d,coreinit,DCStoreRangeNoSync,functions
flappy_bird_3d,coreinit,DCTouchRange,functions
flappy_bird_3d,coreinit,DCZeroRange,functions
flappy_bird_3d,coreinit,FSAddClient,functions
flappy_bird_3d,coreinit,FSBindMount,functions
flappy_bird_3d,coreinit,FSBindUnmount,functions
flappy_bird_3d,coreinit,FSChangeDir,functions
flappy_bird_3d,coreinit,FSChangeDirAsync,functions
flappy_bird_3d,coreinit,FSChangeMode,functions
flappy_bird_3d,coreinit,FSChangeModeAsync,functions
flappy_bird_3d,coreinit,FSCloseDir,functions
flappy_bird_3d,coreinit,FSCloseDirAsync,functions
flappy_bird_3d,coreinit,FSCloseFile,functions
flappy_bird_3d,coreinit,FSCloseFileAsync,functions
flappy_bird_3d,coreinit,FSDelClient,functions
flappy_bird_3d,coreinit,FSFlushFile,functions
flappy_bird_3d,coreinit,FSFlushFileAsync,functions
flappy_bird_3d,coreinit,FSGetClientNum,functions
flappy_bird_3d,coreinit,FSGetCwd,functions
flappy_bird_3d,coreinit,FSGetFreeSpaceSize,functions
flappy_bird_3d,coreinit,FSGetFreeSpaceSizeAsync,functions
flappy_bird_3d,coreinit,FSGetLastErrorCodeForViewer,functions
flappy_bird_3d,coreinit,FSGetMountSource,functions
flappy_bird_3d,coreinit,FSGetPosFile,functions
flappy_bird_3d,coreinit,FSGetPosFileAsync,functions
flappy_bird_3d,coreinit,FSGetStat,functions
flappy_bird_3d,coreinit,FSGetStatAsync,functions
flappy_bird_3d,coreinit,FSGetStatFile,functions
flappy_bird_3d,coreinit,FSGetStatFileAsync,functions
flappy_bird_3d,coreinit,FSGetVolumeState,functions
flappy_bird_3d,coreinit,FSInit,functions
flappy_bird_3d,coreinit,FSInitCmdBlock,functions
flappy_bird_3d,coreinit,FSMakeDir,functions
flappy_bird_3d,coreinit,FSMakeDirAsync,functions
flappy_bird_3d,coreinit,FSMount,functions
flappy_bird_3d,coreinit,FSOpenDir,functions
flappy_bird_3d,coreinit,FSOpenDirAsync,functions
flappy_bird_3d,coreinit,FSOpenFile,functions
flappy_bird_3d,coreinit,FSOpenFileAsync,functions
flappy_bird_3d,coreinit,FSReadDir,functions
flappy_bird_3d,coreinit,FSReadDirAsync,functions
flappy_bird_3d,coreinit,FSReadFile,functions
flappy_bird_3d,coreinit,FSReadFileAsync,functions
flappy_bird_3d,coreinit,FSReadFileWithPos,functions
flappy_bird_3d,coreinit,FSReadFileWithPosAsync,functions
flappy_bird_3d,coreinit,FSRemove,functions
flappy_bird_3d,coreinit,FSRemoveAsync,functions
flappy_bird_3d,coreinit,FSRename,functions
flappy_bird_3d,coreinit,FSRenameAsync,functions
flappy_bird_3d,coreinit,FSRewindDir,functions
flappy_bird_3d,coreinit,FSSetCmdPriority,functions
flappy_bird_3d,coreinit,FSSetPosFile,functions
flappy_bird_3d,coreinit,FSSetPosFileAsync,functions
flappy_bird_3d,coreinit,FSSetStateChangeNotification,functions
flappy_bird_3d,coreinit,FSShutdown,functions
flappy_bird_3d,coreinit,FSTruncateFile,functions
