library,symbol,kind,titles,pct_of_corpus,implemented
gx2,GX2BeginDisplayListEx,functions,1,100.0,no
gx2,GX2CalcColorBufferAuxInfo,functions,1,100.0,no
gx2,GX2CalcDRCSize,functions,1,100.0,no
gx2,GX2CalcDepthBufferHiZInfo,functions,1,100.0,no
gx2,GX2CalcFetchShaderSizeEx,functions,1,100.0,no
gx2,GX2CalcSurfaceSizeAndAlignment,functions,1,100.0,no
gx2,GX2CalcTVSize,functions,1,100.0,no
gx2,GX2CallDisplayList,functions,1,100.0,no
gx2,GX2ClearColor,functions,1,100.0,no
gx2,GX2ClearDepthStencilEx,functions,1,100.0,no
gx2,GX2ConvertDepthBufferToTextureSurface,functions,1,100.0,no
gx2,GX2CopyColorBufferToScanBuffer,functions,1,100.0,no
gx2,GX2CopyDisplayList,functions,1,100.0,no
gx2,GX2DrawEx,functions,1,100.0,no
gx2,GX2DrawIndexedEx,functions,1,100.0,no
gx2,GX2DrawIndexedImmediateEx,functions,1,100.0,no
gx2,GX2EndDisplayList,functions,1,100.0,no
gx2,GX2Flush,functions,1,100.0,no
gx2,GX2FreeTilingAperture,functions,1,100.0,no
gx2,GX2GetLastSubmittedTimeStamp,functions,1,100.0,no
gx2,GX2GetRetiredTimeStamp,functions,1,100.0,no
gx2,GX2GetSurfaceFormatBits,functions,1,100.0,no
gx2,GX2GetSwapStatus,functions,1,100.0,no
gx2,GX2GetSystemTVAspectRatio,functions,1,100.0,no
gx2,GX2GetSystemTVScanMode,functions,1,100.0,no
gx2,GX2Init,functions,1,100.0,no
gx2,GX2InitColorBufferRegs,functions,1,100.0,no
gx2,GX2InitDepthBufferHiZEnable,functions,1,100.0,no
gx2,GX2InitDepthBufferRegs,functions,1,100.0,no
gx2,GX2InitFetchShaderEx,functions,1,100.0,no
gx2,GX2InitSampler,functions,1,100.0,no
gx2,GX2InitSamplerClamping,functions,1,100.0,no
gx2,GX2InitSamplerDepthCompare,functions,1,100.0,no
gx2,GX2InitSamplerFilterAdjust,functions,1,100.0,no
gx2,GX2InitSamplerXYFilter,functions,1,100.0,no
gx2,GX2InitSamplerZMFilter,functions,1,100.0,no
gx2,GX2InitTextureRegs,functions,1,100.0,no
gx2,GX2Invalidate,functions,1,100.0,no
gx2,GX2QueryBegin,functions,1,100.0,no
gx2,GX2QueryEnd,functions,1,100.0,no
gx2,GX2QueryGetOcclusionResult,functions,1,100.0,no
gx2,GX2RCreateBufferUserMemory,functions,1,100.0,no
gx2,GX2RDestroyBufferEx,functions,1,100.0,no
gx2,GX2RInvalidateBuffer,functions,1,100.0,no
gx2,GX2RSetStreamOutBuffer,functions,1,100.0,no
gx2,GX2ResolveAAColorBuffer,functions,1,100.0,no
gx2,GX2SampleBottomGPUCycle,functions,1,100.0,no
gx2,GX2SaveStreamOutContext,functions,1,100.0,no
gx2,GX2SetAlphaTest,functions,1,100.0,no
gx2,GX2SetAlphaToMask,functions,1,100.0,no
gx2,GX2SetAttribBuffer,functions,1,100.0,no
gx2,GX2SetBlendConstantColor,functions,1,100.0,no
gx2,GX2SetBlendControl,functions,1,100.0,no
gx2,GX2SetClearDepthStencil,functions,1,100.0,no
gx2,GX2SetColorBuffer,functions,1,100.0,no
gx2,GX2SetColorControl,functions,1,100.0,no
gx2,GX2SetContextState,functions,1,100.0,no
gx2,GX2SetDRCBuffer,functions,1,100.0,no
gx2,GX2SetDRCEnable,functions,1,100.0,no
gx2,GX2SetDRCScale,functions,1,100.0,no
gx2,GX2SetDepthBuffer,functions,1,100.0,no
gx2,GX2SetDepthOnlyControl,functions,1,100.0,no
gx2,GX2SetDepthStencilControl,functions,1,100.0,no
gx2,GX2SetEventCallback,functions,1,100.0,no
gx2,GX2SetFetchShader,functions,1,100.0,no
gx2,GX2SetGPUFence,functions,1,100.0,no
gx2,GX2SetLineWidth,functions,1,100.0,no
gx2,GX2SetMaxTessellationLevel,functions,1,100.0,no
gx2,GX2SetMinTessellationLevel,functions,1,100.0,no
gx2,GX2SetPixelSampler,functions,1,100.0,no
gx2,GX2SetPixelShader,functions,1,100.0,no
gx2,GX2SetPixelTexture,functions,1,100.0,no
gx2,GX2SetPixelUniformReg,functions,1,100.0,no
gx2,GX2SetPointLimits,functions,1,100.0,no
gx2,GX2SetPointSize,functions,1,100.0,no
gx2,GX2SetPolygonControl,functions,1,100.0,no
gx2,GX2SetPolygonOffset,functions,1,100.0,no
gx2,GX2SetPrimitiveRestartIndex,functions,1,100.0,no
gx2,GX2SetRasterizerClipControl,functions,1,100.0,no
gx2,GX2SetScissor,functions,1,100.0,no
gx2,GX2SetShaderModeEx,functions,1,100.0,no
gx2,GX2SetStencilMask,functions,1,100.0,no
gx2,GX2SetStreamOutContext,functions,1,100.0,no
gx2,GX2SetStreamOutEnable,functions,1,100.0,no
gx2,GX2SetTVBuffer,functions,1,100.0,no
gx2,GX2SetTVEnable,functions,1,100.0,no
gx2,GX2SetTVGamma,functions,1,100.0,no
gx2,GX2SetTVScale,functions,1,100.0,no
gx2,GX2SetTargetChannelMasks,functions,1,100.0,no
gx2,GX2SetTessellation,functions,1,100.0,no
gx2,GX2SetVerifyCallback,functions,1,100.0,no
gx2,GX2SetVerifyLevel,functions,1,100.0,no
gx2,GX2SetVertexSampler,functions,1,100.0,no
gx2,GX2SetVertexShader,functions,1,100.0,no
gx2,GX2SetVertexTexture,functions,1,100.0,no
gx2,GX2SetVertexUniformReg,functions,1,100.0,no
gx2,GX2SetViewport,functions,1,100.0,no
gx2,GX2SetupContextStateEx,functions,1,100.0,no
gx2,GX2SubmitUserTimeStamp,functions,1,100.0,no
gx2,GX2SwapScanBuffers,functions,1,100.0,no
gx2,GX2WaitForFlip,functions,1,100.0,no
mic.rpl,MICClose,functions,1,100.0,no
mic.rpl,MICGetStatus,functions,1,100.0,no
mic.rpl,MICInit,functions,1,100.0,no
mic.rpl,MICOpen,functions,1,100.0,no
mic.rpl,MICSetDataConsumed,functions,1,100.0,no
mic.rpl,MICSetState,functions,1,100.0,no
mic.rpl,MICUninit,functions,1,100.0,no
nlibcurl.rpl,curl_easy_cleanup,functions,1,100.0,no
nlibcurl.rpl,curl_easy_getinfo,functions,1,100.0,no
nlibcurl.rpl,curl_easy_init,functions,1,100.0,no
nlibcurl.rpl,curl_easy_setopt,functions,1,100.0,no
nlibcurl.rpl,curl_easy_strerror,functions,1,100.0,no
nlibcurl.rpl,curl_global_cleanup,functions,1,100.0,no
nlibcurl.rpl,curl_global_init_mem,functions,1,100.0,no
nlibcurl.rpl,curl_multi_add_handle,functions,1,100.0,no
nlibcurl.rpl,curl_multi_cleanup,functions,1,100.0,no
nlibcurl.rpl,curl_multi_info_read,functions,1,100.0,no
